Country,OblName,City,id,codeKLADR,is_terminal
RU,TYU,Аромашево,0xb68602215ecc9d4b11e10c3de83d40e0,7200400000100000000000000,0
RU,PRI,Арсеньев,0x959f001438c4d49511db544e7bb25f52,2500000200000000000000000,0
RU,TA,Арск,0xaf3400145efaa62011df61a45defb34a,1601000100000000000000000,0
RU,PRI,Артем,0x810ee61f132874ef11e105ef5c93852f,2500000300000000000000000,0
RU,SVE,Артемовский,0x97b6001a649655bf11dd377df75a643c,6600300100000000000000000,0
RU,ARK,Архангельск,0x834f00112fdd658311da4c6326ef0e22,2900000100000000000000000,1
RU,ULY,Архангельское,0x81e100112fdd658311da55b5652db5bc,7301800000700000000000000,0
RU,AMU,Архара,0xaab9bfca0a9a095243c765171d1f45e6,2800200000100000000000000,0
RU,KDA,Архипо-Осиповка,0x907b001438c4d49511dc92a325774df2,2300000300300000000000000,0
RU,KC,Архыз,0xb35f001a64d37be411dec79e33949a03,900300000200000000000000,0
RU,SVE,Асбест,0x93c5000423b423b711dafba96f730690,6600000200000000000000000,0
RU,TOM,Асино,0xbbb700145efaa62011df2d9d2341f167,7000300100000000000000000,0
KZ,AKM,Астана,0xa418e61f132874ef11e15eb3bea4989a,9993987100000000000000000,0
RU,AST,Астрахань,0x834f00112fdd658311da4c6326ef0e0c,3000000100000000000000000,1
RU,SAR,Аткарск,0x81e100112fdd658311da55b5652db3bd,6400000300000000000000000,0
KZ,ATY,Атырау,0x8971001a6479c68811e174b10cce37d9,9993982301000100000000000,0
RU,MO,Атяшево,0xbc12001a649655bf11dd7b2c58ba9a61,1300400000500000000000000,0
RU,MOS,Афанасьево,0x8af302215ecc9d4b11dff233a211e40e,4300300000100000000000000,0
RU,KDA,Афипский,0x81e100112fdd658311da55b5652db3bf,2302900000700000000000000,0
RU,AST,Ахтубинск,0x8e4a001438c4d49511dcd5659d2920d1,3000200100000000000000000,0
RU,KDA,Ахтырский,0x971400215e7024d411dee30f40244568,2300200000400000000000000,0
RU,KYA,Ачинск,0x81f600112fdd658311da7152ab69d620,2400001200000000000000000,1
RU,CHE,Аша,0x81e100112fdd658311da55b5652db5b6,7400200300000000000000000,0
RU,KOS,Бабаево,0x81e100112fdd658311da55b5652db3c0,3500200100000000000000000,0
RU,TA,Бавлы,0x89ea00215e70232411dee0ae143b6737,1601200100000000000000000,0
RU,ROS,Багаевская,0x81e100112fdd658311da55b5652db3c2,6100400000100000000000000,0
RU,BU,Багдарин,0x9af600215e70232411e0c4b7f617d8d1,300200000100000000000000,0
RU,RYA,Баграмово,0xaa7900215e7024d411df47a3360fcdc6,6201400000600000000000000,0
RU,KGD,Багратионовск,0x942b00215e70232411e2824729d49bf9,3900200100000000000000000,0
RU,TA,Базарные Матаки,0xb68602215ecc9d4b11e10c319430f8cc,1600700000100000000000000,0
RU,SAR,Базарный Карабулак,0x81fa02215ecc9d4b11dfa6bb010dff21,6400500000100000000000000,0
RU,ULY,Базарный Сызган,0x94c900215e7024d411df23881f0075ab,7300200000100000000000000,0
RU,TYU,Байкалово,0x85b902215ecc9d4b11e0f0b18af8e3b9,6600600000100000000000000,0
RU,IRK,Байкальск,0x8a3100215e70232411df9bbe3f0c43a2,3801800200000000000000000,0
RU,KYA,Байкит,0x868f02215ecc9d4b11e212bce1d89e31,2404400001000000000000000,0
KZ,KZY,Байконур,0xb0a3436f9831ce4346ef6ea157083a5d,9993983506000000000000000,0
RU,BA,Баймак,0x81e100112fdd658311da55b5652db3c3,200600100000000000000000,0
RU,KB,Баксан,0xb388001a649655bf11dd0ac587b9994c,700000300000000000000000,0
RU,KLU,Балабаново,0x81e100112fdd658311da55b5652db3c4,4000400200000000000000000,0
RU,SAR,Балаково,0x834f00112fdd658311da4c6326ef0e23,6400000400000000000000000,1
RU,NIZ,Балахна,0x834f00112fdd658311da4c632f094899,5200400100000000000000000,0
RU,KYA,Балахта,0x983a001a649655bf11dd2886b2a0a680,2400400000100000000000000,0
RU,MOS,Балашиха,0x81e100112fdd658311da55b5652db3c5,5000003600000000000000000,1
RU,SAR,Балашов,0x81e100112fdd658311da55b5652db3c6,6400000500000000000000000,0
